omega = 1.00	omega = 0.96	omega = 0.92	omega = 0.88
1.06880928787040	2.30189817527046	NaN	NaN
4.58303393235032	NaN	0.413751488566053	NaN
0.381813711284169	NaN	NaN	NaN
0.0384968443894803	5.44196036372765	0.000483981318457992	0.735291502690609
0.0208196499124689	0.467537353187417	NaN	NaN
NaN	NaN	0.988423991474349	0.705529410875480
2.54159678191916	1.11263979988526	1.67157772551369	0.177558385298552
2.01059808323722	NaN	0.623257599450251	NaN
2.16266365388567	2.77272361553090	NaN	0.334735774455515
NaN	NaN	0.341391693754048	NaN
0.940817415958102	NaN	NaN	NaN
7.80365465534288	0.468240870391875	0.374145601396874	NaN
1.36374878611054	3.80881585071977	NaN	NaN
1.47893591411431	2.63907442329671	0.514813711554346	NaN
NaN	0.508929391838401	NaN	NaN
NaN	NaN	NaN	NaN
NaN	1.13777959601921	0.427235556758857	NaN
1.99590888456676	0.504519875799578	0.689918683444195	NaN
9.43043884984684	NaN	NaN	NaN
0.521612049406867	NaN	0.737445654759674	NaN
0.901686546570190	NaN	0.0918703923083238	NaN
0.214937182860556	0.273549488321988	0.753346218842586	NaN
NaN	0.648200828648496	0.118967551776393	0.0656909284002566
0.774735101986673	NaN	0.0328436881160723	NaN
2.47773213627896	NaN	NaN	NaN
1.42152659241945	0.0786249565164599	NaN	NaN
3.38304719332216	0.0552664994291528	NaN	NaN
9.62300832175662	0.0710479790559227	0.0270123557205132	0.158173052154047
2.49659253718794	NaN	NaN	0.358858084435120
0.540274756862103	3.38949167140473	5.13724456431672	NaN
2.63657063545902	0.0919198152186535	NaN	0.615668678263529
0.420223283243290	0.223204567340100	NaN	1.22228965997539
9.61938583656805	0.120536551528741	NaN	NaN
2.80661305641760	1.23547432549343	0.233961859731019	NaN
1.26394895663034	NaN	NaN	NaN
1.45134544451004	0.0654243129334044	0.0758763150720415	0.131471055267196
2.22659538835949	0.0659581968525772	NaN	NaN
NaN	1.12556803517652	NaN	3.03615439735462
4.99532156966880	0.307992153980525	NaN	NaN
0.788014044707091	NaN	0.621322868282460	NaN
1.06011500407231	1.18061609501767	1.57948673804826	NaN
0.175692541480314	0.0890672882964245	1.20671156429609	NaN
1.92573439996390	NaN	NaN	3.05879033555931
4.02110491968447	1.68011722040137	0.0743735552019510	NaN
NaN	NaN	NaN	0.121722761568232
7.99206927038621	NaN	NaN	NaN
1.51219534951856	NaN	NaN	0.436210103219759
1.17770435126197	0.0853473306525086	NaN	0.371883328199507
0.796786439118842	0.106225095538782	NaN	NaN
0.665315864249593	NaN	0.467882031556776	0.711103315028634
1.22060414826902	2.55950235610595	NaN	NaN
0.976509729982587	1.09203900748700	1.07788680861502	NaN
1.19409274024663	0.236199493168568	NaN	NaN
6.13858531275582	NaN	NaN	0.137171499120971
